SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,PPOPCHG_2020,PPOPCHG_2021,PPOPCHG_2022,NRANK_ESTBASE2020,NRANK_POPEST2020,NRANK_POPEST2021,NRANK_POPEST2022,NRANK_NPCHG2020,NRANK_NPCHG2021,NRANK_NPCHG2022,NRANK_PPCHG2020,NRANK_PPCHG2021,NRANK_PPCHG2022
10,0,0,0,United States,331449520,331511512,332031554,333287557,61992,520042,1256003,0.018703301,0.156869967,0.378278204,X,X,X,X,X,X,X,X,X,X
20,1,0,0,Northeast Region,57609156,57448898,57259257,57040406,-160258,-189641,-218851,-0.278181475,-0.330103808,-0.382210688,4,4,4,4,4,4,4,4,4,4
30,1,1,0,New England,15116206,15074473,15121745,15129548,-41733,47272,7803,-0.276081181,0.313589735,0.051601188,9,9,9,9,8,5,6,8,4,6
30,1,2,0,Middle Atlantic,42492950,42374425,42137512,41910858,-118525,-236913,-226654,-0.278928622,-0.559094312,-0.537891274,4,4,4,4,9,8,9,9,8,9
20,2,0,0,Midwest Region,68985537,68961043,68836505,68787595,-24494,-124538,-48910,-0.035505993,-0.180591816,-0.071052416,3,3,3,3,3,3,3,3,3,3
30,2,3,0,East North Central,47368637,47338744,47181948,47097779,-29893,-156796,-84169,-0.063107157,-0.331221293,-0.17839238,3,3,3,3,7,7,7,7,7,8
30,2,4,0,West North Central,21616900,21622299,21654557,21689816,5399,32258,35259,0.024975829,0.149188576,0.16282485,7,7,7,7,5,6,5,5,6,5
20,3,0,0,South Region,126266262,126450613,127346029,128716192,184351,895416,1370163,0.146001788,0.708115191,1.075936965,1,1,1,1,1,1,1,1,1,1
30,3,5,0,South Atlantic,66089861,66164801,66666348,67452940,74940,501547,786592,0.113391069,0.758026915,1.17989364,1,1,1,1,3,1,1,3,3,1
30,3,6,0,East South Central,19402323,19422567,19474372,19578002,20244,51805,103630,0.104338022,0.266725814,0.53213526,8,8,8,8,4,4,4,4,5,4
30,3,7,0,West South Central,40774078,40863245,41205309,41685250,89167,342064,479941,0.218685509,0.837094558,1.16475525,5,5,5,5,1,2,2,2,2,2
20,4,0,0,West Region,78588565,78650958,78589763,78743364,62393,-61195,153601,0.079391957,-0.077805791,0.195446575,2,2,2,2,2,2,2,2,2,2
30,4,8,0,Mountain,24919131,24996513,25268390,25514320,77382,271877,245930,0.310532498,1.087659707,0.973271348,6,6,6,6,2,3,3,1,1,3
30,4,9,0,Pacific,53669434,53654445,53321373,53229044,-14989,-333072,-92329,-0.027928374,-0.620772426,-0.173155706,2,2,2,2,6,9,8,6,9,7
40,3,6,1,Alabama,5024356,5031362,5049846,5074296,7006,18484,24450,0.139440756,0.367375673,0.484173181,24,24,24,24,14,17,15,16,21,20
40,4,9,2,Alaska,733378,732923,734182,733583,-455,1259,-599,-0.062041676,0.171777936,-0.081587399,48,48,48,48,34,32,34,36,29,38
40,4,8,4,Arizona,7151507,7179943,7264877,7359197,28436,84934,94320,0.397622487,1.182934182,1.298301403,14,14,14,14,3,4,5,2,6,8
40,3,7,5,Arkansas,3011555,3014195,3028122,3045637,2640,13927,17515,0.087662354,0.462047081,0.578411306,33,33,33,33,20,21,17,21,19,17
40,4,9,6,California,39538245,39501653,39142991,39029342,-36592,-358662,-113649,-0.092548367,-0.907967067,-0.290343168,1,1,1,1,50,51,50,40,50,42
40,4,8,8,Colorado,5773733,5784865,5811297,5839926,11132,26432,28629,0.192804205,0.456916454,0.492643897,21,21,21,21,9,11,12,12,20,19
40,1,1,9,Connecticut,3605942,3597362,3623355,3626205,-8580,25993,2850,-0.237940599,0.722557252,0.078656383,29,29,29,29,45,13,29,47,13,32
40,3,5,10,Delaware,989957,992114,1004807,1018396,2157,12693,13589,0.217888252,1.279389264,1.352399018,45,45,45,45,22,23,20,10,4,7
40,3,5,11,District of Columbia,689546,670868,668791,671803,-18678,-2077,3012,-2.708738793,-0.309598908,0.450364912,49,49,49,49,47,39,28,51,45,21
40,3,5,12,Florida,21538226,21589602,21828069,22244823,51376,238467,416754,0.238534037,1.104545605,1.909257296,3,3,3,3,2,2,2,9,9,1
40,3,5,13,Georgia,10711937,10729828,10788029,10912876,17891,58201,124847,0.16701928,0.542422488,1.157273493,8,8,8,8,5,6,4,14,18,12
40,4,9,15,Hawaii,1455273,1451043,1447154,1440196,-4230,-3889,-6958,-0.290667112,-0.268014111,-0.480805775,40,40,40,40,41,41,40,48,41,47
40,4,8,16,Idaho,1839092,1849202,1904314,1939033,10110,55112,34719,0.549727801,2.980312589,1.82317622,38,38,38,38,11,8,10,1,1,2
40,2,3,17,Illinois,12812545,12786580,12686469,12582032,-25965,-100111,-104437,-0.202652947,-0.782938049,-0.823215664,6,6,6,6,48,49,49,46,49,50
40,2,3,18,Indiana,6785668,6788799,6813532,6833037,3131,24733,19505,0.046141367,0.364320699,0.286268561,17,17,17,17,18,14,16,27,22,24
40,2,4,19,Iowa,3190372,3190571,3197689,3200517,199,7118,2828,0.006237517,0.223094863,0.088438869,31,31,31,31,31,27,30,31,27,31
40,2,4,20,Kansas,2937847,2937919,2937922,2937150,72,3,-772,0.002450774,0.000102113,-0.026277076,35,35,35,35,32,35,35,32,35,34
40,3,6,21,Kentucky,4505893,4507445,4506589,4512310,1552,-856,5721,0.034443783,-0.018990803,0.126947454,26,26,26,26,23,36,25,30,36,29
40,3,7,22,Louisiana,4657749,4651664,4627098,4590241,-6085,-24566,-36857,-0.130642506,-0.528112091,-0.796546777,25,25,25,25,42,46,47,44,48,49
40,1,1,23,Maine,1362341,1363557,1377238,1385340,1216,13681,8102,0.089258123,1.003331727,0.58827886,42,42,42,42,24,22,23,20,10,15
40,3,5,24,Maryland,6177213,6173205,6174610,6164660,-4008,1405,-9950,-0.06488363,0.022759652,-0.161143781,18,18,18,19,40,31,44,38,34,41
40,1,1,25,Massachusetts,7029949,6995729,6989690,6981974,-34220,-6039,-7716,-0.486774513,-0.086324099,-0.110391162,15,15,15,16,49,43,41,50,39,39
40,2,3,26,Michigan,10077325,10069577,10037504,10034113,-7748,-32073,-3391,-0.076885483,-0.318513876,-0.033783299,10,10,10,10,43,47,38,39,46,35
40,2,4,27,Minnesota,5706504,5709852,5711471,5717184,3348,1619,5713,0.058669897,0.0283545,0.100026771,22,22,22,22,17,30,26,25,33,30
40,3,6,28,Mississippi,2961288,2958141,2949586,2940057,-3147,-8555,-9529,-0.106271325,-0.289201901,-0.323062287,34,34,34,34,39,44,43,42,44,45
40,2,4,29,Missouri,6154920,6153998,6169823,6177957,-922,15825,8134,-0.014979886,0.257149905,0.131835224,19,19,19,18,35,20,22,33,25,28
40,4,8,30,Montana,1084197,1087075,1106227,1122867,2878,19152,16640,0.265449914,1.761791965,1.504212065,44,44,43,43,19,16,18,6,2,6
40,2,4,31,Nebraska,1961489,1962642,1963554,1967923,1153,912,4369,0.058781874,0.046467975,0.222504703,37,37,37,37,25,33,27,24,32,25
40,4,8,32,Nevada,3104624,3115648,3146402,3177772,11024,30754,31370,0.355083257,0.987081981,0.997011825,32,32,32,32,10,10,11,4,11,13
40,1,1,33,New Hampshire,1377518,1378587,1387505,1395231,1069,8918,7726,0.077603342,0.646894248,0.556826822,41,41,41,41,27,25,24,22,15,18
40,1,2,34,New Jersey,9289031,9271689,9267961,9261699,-17342,-3728,-6262,-0.186693316,-0.040208424,-0.067566102,11,11,11,11,46,40,39,45,37,36
40,4,8,35,New Mexico,2117527,2118390,2116677,2113344,863,-1713,-3333,0.040755088,-0.080863297,-0.157463798,36,36,36,36,28,38,37,29,38,40
40,1,2,36,New York,20201230,20108296,19857492,19677151,-92934,-250804,-180341,-0.460041295,-1.247266302,-0.908176118,4,4,4,4,51,50,51,49,51,51
40,3,5,37,North Carolina,10439414,10449445,10565885,10698973,10031,116440,133088,0.096087769,1.114317555,1.259601065,9,9,9,9,12,3,3,19,8,9
40,2,4,38,North Dakota,779091,779518,777934,779261,427,-1584,1327,0.054807462,-0.203202492,0.170580024,47,47,47,47,30,37,32,26,40,27
40,2,3,39,Ohio,11799374,11797517,11764342,11756058,-1857,-33175,-8284,-0.015738123,-0.28120324,-0.070416178,7,7,7,7,37,48,42,34,43,37
40,3,7,40,Oklahoma,3959346,3964912,3991225,4019800,5566,26313,28575,0.140578772,0.663646507,0.715945606,28,28,28,28,15,12,13,15,14,14
40,4,9,41,Oregon,4237291,4244795,4256301,4240137,7504,11506,-16164,0.17709428,0.271061382,-0.379766375,27,27,27,27,13,24,46,13,24,46
40,1,2,42,Pennsylvania,13002689,12994440,13012059,12972008,-8249,17619,-40051,-0.063440724,0.13558876,-0.307799096,5,5,5,5,44,18,48,37,30,44
40,1,1,44,Rhode Island,1097371,1096345,1096985,1093734,-1026,640,-3251,-0.093496183,0.058375785,-0.296357744,43,43,44,44,36,34,36,41,31,43
40,3,5,45,South Carolina,5118429,5131848,5193266,5282634,13419,61418,89368,0.262170287,1.196800841,1.720843877,23,23,23,23,7,5,6,7,5,3
40,2,4,46,South Dakota,886677,887799,896164,909824,1122,8365,13660,0.126539879,0.942217777,1.524274575,46,46,46,46,26,26,19,18,12,5
40,3,6,47,Tennessee,6910786,6925619,6968351,7051339,14833,42732,82988,0.214635499,0.61701344,1.19092738,16,16,16,15,6,9,7,11,17,11
40,3,7,48,Texas,29145428,29232474,29558864,30029572,87046,326390,470708,0.298660908,1.116532251,1.592442795,2,2,2,2,1,1,1,5,7,4
40,4,8,49,Utah,3271614,3283785,3339113,3380800,12171,55328,41687,0.372018215,1.684884973,1.248445321,30,30,30,30,8,7,9,3,3,10
40,1,1,50,Vermont,643085,642893,646972,647064,-192,4079,92,-0.029856084,0.634475722,0.01422009,50,50,50,50,33,28,33,35,16,33
40,3,5,51,Virginia,8631384,8636471,8657365,8683619,5087,20894,26254,0.058936087,0.241927519,0.303256245,12,12,12,12,16,15,14,23,26,23
40,4,9,53,Washington,7705247,7724031,7740745,7785786,18784,16714,45041,0.243781932,0.216389603,0.581869058,13,13,13,13,4,19,8,8,28,16
40,3,5,54,West Virginia,1793755,1791420,1785526,1775156,-2335,-5894,-10370,-0.130173853,-0.329012738,-0.580781238,39,39,39,39,38,42,45,43,47,48
40,2,3,55,Wisconsin,5893725,5896271,5880101,5892539,2546,-16170,12438,0.043198487,-0.274241126,0.211526979,20,20,20,20,21,45,21,28,42,26
40,4,8,56,Wyoming,576837,577605,579483,581381,768,1878,1898,0.133139865,0.32513569,0.327533336,51,51,51,51,29,29,31,17,23,22
40,X,X,72,Puerto Rico,3285874,3281557,3262693,3221789,-4317,-18864,-40904,-0.13138057,-0.574849073,-1.253688288,X,X,X,X,X,X,X,X,X,X
