State,2020 COVID-19 Deaths,2020 COVID-Like Deaths,2021 COVID-19 Deaths,2021 COVID-Like Deaths,2022 COVID-19 Deaths,2022 COVID-Like Deaths
Alabama,6706,9870,9719,12496,4152,6785
Alaska,254,434,839,1005,320,521
Arizona,9321,13237,14060,17518,5814,9188
Arkansas,4027,6215,5336,7264,2734,4768
California,33578,52630,48327,64106,21666,38012
Colorado,5073,7297,6207,7983,3336,5495
Connecticut,6298,7977,3153,4582,2507,4460
Delaware,1096,1577,1266,1695,853,1375
District of Columbia,1004,1429,707,1058,427,773
Florida,21827,35229,38874,51305,16724,29369
Georgia,10454,15137,17309,21442,7051,11127
Hawaii,365,1045,744,1398,610,1354
Idaho,1541,2161,2785,3337,1070,1687
Illinois,16721,23335,11787,16959,8622,14125
Indiana,9775,14280,10054,13572,5902,9636
Iowa,4769,6633,3526,5045,2215,3827
Kansas,3510,5071,3806,5125,2366,3745
Kentucky,4619,8524,8694,12154,5616,9251
Louisiana,7066,9352,6918,8832,2978,4527
Maine,465,1417,1433,2288,1044,2005
Maryland,6729,10136,6101,9008,4257,7226
Massachusetts,10221,14227,5578,8534,4276,7487
Michigan,12342,18113,14945,19693,7746,12253
Minnesota,5834,8574,5181,7413,3309,5742
Mississippi,5162,7599,5907,8118,3162,5468
Missouri,8059,11656,8946,12036,5317,8656
Montana,1269,1782,1816,2294,723,1238
Nebraska,2253,3355,1939,2941,1245,2166
Nevada,3527,5227,5645,7143,2667,4520
New Hampshire,828,1472,1204,1719,807,1386
New Jersey,18164,22754,9605,13112,6482,9898
New Mexico,2886,4029,3704,4696,1908,2951
New York,16195,24159,14799,21623,8974,16177
North Carolina,8789,14645,15234,20521,8190,13823
North Dakota,1513,2061,939,1457,533,987
Ohio,15097,21502,20536,26208,11752,17318
Oklahoma,5248,8502,7850,10641,4404,7110
Oregon,1612,3251,4189,5539,2693,4312
Pennsylvania,18407,25388,20546,26482,11487,17654
Rhode Island,1918,2448,1217,1649,765,1153
South Carolina,5705,8775,9497,12121,4506,7205
South Dakota,1715,2278,987,1516,619,1158
Tennessee,7927,13381,13653,18369,7116,11784
Texas,33542,47720,48786,61138,18313,30336
Utah,1657,2702,2671,3514,1293,2226
Vermont,145,428,308,568,377,681
Virginia,6156,9407,9668,12695,5922,8986
Washington,3703,6957,6165,8778,4084,7275
West Virginia,1564,3180,3938,5542,2326,4365
Wisconsin,6286,8911,6076,8287,3831,6144
Wyoming,461,748,963,1191,347,571
